step,loss
1,0.010441840626299381
2,0.008497373352383875
3,0.0029446573412315047
4,0.006690920315577387
5,6.0428476899687666e-05
6,7.653069928892364e-06
7,4.988846740161534e-06
8,1.3589809384484397e-06
9,1.728533760569917e-07
10,8.34464923826772e-08
11,9.536740996907156e-08
12,2.086161980940915e-07
13,3.576278384542775e-08
14,5.3644168218625055e-08
15,5.3644169994981894e-08
16,2.9802313505911115e-08
17,3.576278295724933e-08
18,7.152556236178498e-08
19,1.7881392366803084e-08
20,5.3644168218625055e-08
21,5.960464122267695e-09
22,1.7881392366803084e-08
23,1.192092824453539e-08
24,1.192092824453539e-08
25,2.9802317058624794e-08
26,2.384185471271394e-08
27,5.960464122267695e-09
28,2.38418529363571e-08
29,4.1723243526803344e-08
30,2.9802317058624794e-08
31,4.1723245303160184e-08
32,2.38418529363571e-08
33,1.7881390590446244e-08
34,4.1723243526803344e-08
35,2.9802317058624794e-08
36,5.960464122267695e-09
37,2.38418529363571e-08
38,0.0
39,4.768370764907104e-08
40,1.7881392366803084e-08
41,4.768370764907104e-08
42,5.960464122267695e-09
43,3.576278118089249e-08
44,4.1723245303160184e-08
45,5.960464122267695e-09
46,2.9802318834981634e-08
47,1.192092824453539e-08
48,5.960464122267695e-09
