step,loss
1,0.2644526691874489
2,0.0059213322474533925
3,0.006551690633386897
4,0.021124926977790892
5,0.02516662236303091
6,0.27376104693394154
7,0.002470154060574714
8,0.003239405090425862
9,0.2557517966488376
10,0.004219696653308347
11,0.016093537488814036
12,0.1881663739331998
13,0.007591718116600532
14,0.0015367446176242083
15,0.0015021248400444165
16,0.0011098683244199492
17,0.0005333513900040998
18,0.0004709596892098489
19,0.01632877509109676
20,0.00017008817894748063
21,0.00010267720335832564
22,0.00020023552497150376
23,0.0003553340611688327
24,0.00017379286509822123
25,0.00013404840046860045
26,0.00011010470620931301
27,0.002182451642511296
28,0.00179057787227066
29,6.742500988821121e-05
30,0.001274765784273768
31,8.77375787240453e-05
32,1.77841465642814e-05
33,0.0006787033114505903
34,8.693348263477674e-05
35,0.0005206279981848638
36,5.0490809314851504e-05
37,8.91677331082974e-06
38,3.894810572546703e-05
39,0.00040125126065504446
40,0.00028481400056534767
41,7.886333784767885e-05
42,3.1595481232216116e-05
43,9.351493008580292e-05
44,4.5895366724835185e-06
45,1.351756293388462e-05
46,0.00015273176450136816
47,2.221121422962824e-05
48,2.1849767108506057e-05
49,0.00011732539877584713
50,3.1724705706892564e-05
51,4.857757176068844e-06
52,3.7777294096486e-05
53,9.605537354673288e-05
54,3.403412279112672e-06
55,3.0290034942481725e-05
56,7.715293861565442e-05
57,2.1078732572732406e-05
58,3.681030204916169e-05
59,2.6047642961657402e-05
60,2.6091768177138874e-05
61,3.552423464725507e-06
62,1.7612335568628623e-05
63,2.9419809209230152e-05
64,6.25856131364344e-05
65,3.3676519706205e-06
66,5.588048964000336e-05
67,3.4868610327976057e-06
68,1.059138713799257e-05
69,2.9910757177731284e-05
70,2.4058015753780637e-05
71,3.540504224019969e-06
72,6.288790422104285e-05
73,6.0876685324728896e-05
74,6.03864520485331e-05
75,1.427991821856267e-05
76,6.302939908664484e-05
77,6.383382685726247e-05
78,2.076877132139998e-05
79,2.110255218212842e-05
80,3.0280456087439234e-05
81,1.4667323227968154e-05
82,1.0275511328927678e-05
83,9.596074562523427e-06
84,4.811765748513608e-05
85,3.8146835663610545e-06
86,1.1872388313349802e-05
87,3.0636701353614626e-06
88,6.142787526641769e-05
89,2.8208344531321927e-05
90,1.196775298240027e-05
91,3.361691938152944e-06
92,2.654414328162602e-05
93,1.3493423239197e-05
94,1.8207945231552003e-05
95,6.23080434820622e-05
96,5.09807855166855e-05
97,9.232342506493296e-06
98,9.149063600943919e-06
99,3.02790687101151e-06
