Type,Case Number,Intelligence Number,Suspect Number,,,
ADCC,7,2,"[1, 2]",,,
ADCC,8,1,1,,,
ADCC,14,5,1,,,
ADCC,16,1,1,,,
ADCC,21,1,1,,,
ADCC,23,12,1,,,
ADCC,28,1,1,,,
ADCC,31,1,1,,,
ADCC,35,1,1,,,
ADCC,37,1,1,,,
ADCC,38,1,1,,,
ADCC,38,3,1,,,
ADCC,39,1,1,,,
ADCC,41,1,1,,,
ADCC,45,1,1,,,
ADCC,46,1,1,,,
ADCC,49,1,1,,,
HSBC Referral,1,1,1,,,
HSBC Referral,3,1,1,,,
HSBC Referral,4,2,1,,,
HSBC Referral,4,3,1,,,
HSBC Referral,4,4,1,,,
HSBC Referral,5,1,1,,,
HSBC Referral,5,2,1,,,
HSBC Referral,5,4,1,,,
HSBC Referral,5,5,1,,,
HSBC Referral,5,6,1,,,
HSBC Referral,5,9,1,,,
HSBC Referral,7,1,1,,,
HSBC Referral,15,7,1,,,
HSBC Referral,15,8,1,,,
HSBC Referral,18,1,1,,,
HSBC Referral,19,1,1,,,
HSBC Referral,21,3,1,,,
HSBC Referral,22,1,1,,,
HSBC Referral,22,3,1,,,
HSBC Referral,23,1,1,,,
HSBC Referral,23,2,1,,,
HSBC Referral,23,3,1,,,
HSBC Referral,23,4,1,,,
HSBC Referral,23,6,1,,,
HSBC Referral,24,3,1,,,
HSBC Referral,24,4,1,,,
HSBC Referral,25,1,1,,,
HSBC Referral,26,1,1,,,
HSBC Referral,26,2,1,,,
HSBC Referral,26,3,1,,,
HSBC Referral,27,1,1,,,
HSBC Referral,27,2,1,,,
HSBC Referral,27,3,1,,,
HSBC Referral,30,1,1,,,
HSBC Referral,30,5,1,,,
HSBC Referral,32,2,1,,,
HSBC Referral,33,1,1,,,
HSBC Referral,34,1,1,,,
HSBC Referral,34,2,1,,,
HSBC Referral,34,3,1,,,
HSBC Referral,37,2,1,,,
HSBC Referral,39,3,1,,,
HSBC Referral,43,3,1,,,
HSBC Referral,46,2,1,,,
HSBC Referral,46,5&6,1,,,
HSBC Referral,47,1,1,,,
HSBC Referral,49,2,1,,,
HSBC Referral,49,3,1,,,
Police Letter,2,2,"[1, 2]",,,
Police Letter,4,8,1,,,
Police Letter,4,11,1,,,
Police Letter,4,12,1,,,
Police Letter,4,15,1,,,
Police Letter,9,1,1,,,
Police Letter,10,1,"[1, 3]",,,
Police Letter,11,1,1,,,
Police Letter,12,2,1,,,
Police Letter,12,3,1,,,
Police Letter,14,1,1,,,
Police Letter,14,3,1,,,
Police Letter,14,6,1,,,
Police Letter,17,1,1,,,
Police Letter,17,2,1,,,
Police Letter,17,3,1,,,
Police Letter,18,3,1,,,
Police Letter,18,5,1,,,
Police Letter,21,2,1,,,
Police Letter,28,2,"[1, 2, 3, 4]",,,
Police Letter,30,10,1,,,
Police Letter,31,6,1,,,
Police Letter,32,1,1,,,
Police Letter,33,4,1,,,
Police Letter,33,5,1,,,
Police Letter,33,6,1,,,
Police Letter,38,5,1,,,
Police Letter,38,6,1,,,
Police Letter,40,2,1,,,
Police Letter,42,2,1,,,
Police Letter,42,3,1,,,
Police Letter,43,2,1,,,
Police Letter,44,2,1,,,
Police Letter,44,3,1,,,
Police Letter,46,3,1,,,
Police Letter,47,2,1,,,
Police Letter,47,3,1,,,
Search Warrant,4,16,1,,,
Search Warrant,4,17,1,,,
Search Warrant,4,18,1,,,
Search Warrant,6,1,1,,,
Search Warrant,7,3,2,,,
Search Warrant,14,2,1,,,
Search Warrant,14,4,1,,,
Search Warrant,15,4,1,,,
Search Warrant,18,4,1,,,
Search Warrant,21,4,1,,,
Search Warrant,22,2,1,,,
Search Warrant,23,10,1,,,
Search Warrant,24,7,1,,,
Search Warrant,25,3,1,,,
Search Warrant,30,4,1,,,
Search Warrant,30,6,1,,,
Search Warrant,31,7,1,,,
Search Warrant,33,2,1,,,
Search Warrant,37,5,2,,,
Search Warrant,38,4,1,,,
Search Warrant,43,1,1,,,
Search Warrant,43,4,1,,,
Search Warrant,46,4,1,,,
Search Warrant,47,4,1,,,
Search Warrant,50,1,1,,,
UAR,2,1,1,,,
UAR,3,2,1,,,
UAR,4,5,1,,,
UAR,4,6,1,,,
UAR,4,7,1,,,
UAR,4,9,1,,,
UAR,4,10,1,,,
UAR,5,3,1,,,
UAR,5,7,1,,,
UAR,5,8,1,,,
UAR,8,2,1,,,
UAR,13,1,1,,,
UAR,15,3,1,,,
UAR,18,2,1,,,
UAR,23,5,1,,,
UAR,23,7,1,,,
UAR,23,8,1,,,
UAR,23,9,1,,,
UAR,23,11,1,,,
UAR,24,2,1,,,
UAR,24,5,1,,,
UAR,24,6,1,,,
UAR,25,2,1,,,
UAR,27,4,1,,,
UAR,27,5,1,,,
UAR,27,6,1,,,
UAR,29,2,1,,,
UAR,29,3,1,,,
UAR,30,2,1,,,
UAR,30,3,1,,,
UAR,30,7,1,,,
UAR,30,8,1,,,
UAR,30,9,1,,,
UAR,31,2,1,,,
UAR,31,3,1,,,
UAR,31,4,1,,,
UAR,31,5,1,,,
UAR,32,3,1,,,
UAR,33,3,1,,,
UAR,37,3,2,,,
UAR,37,4,1,,,
UAR,38,2,1,,,
UAR,39,2,1,,,
UAR,40,1,1,,,
UAR,44,1,1,,,
UAR,46,7,1,,,
UAR,48,1,1,,,
UAR,48,2,1,,,
UAR,50,1,1,,,
ODFT,4,1,1,,,
ODFT,4,13,1,,,
ODFT,4,14,1,,,
ODFT,12,1,1,,,
ODFT,15,1,1,,,
ODFT,15,5,1,,,
ODFT,15,6,1,,,
ODFT,20,1,1,,,
ODFT,24,1,1,,,
ODFT,29,1,1,,,
ODFT,36,1,1,,,
ODFT,42,1,1,,,
ODFT,48,3,1,,,
