Field,total,mismatch_count,accuracy_rate,Model
fraud_type,60,13,78.33%,cycle2_final8B_full60
police_team,22,3,86.36%,cycle2_final8B_full60
writ_no,6,2,66.67%,cycle2_final8B_full60
contact_person,6,2,66.67%,cycle2_final8B_full60
fraud_type,60,15,75.00%,base32B_full60
police_team,22,6,72.73%,base32B_full60
writ_no,6,2,66.67%,base32B_full60
contact_person,6,2,66.67%,base32B_full60
Subject Type,1,1,0.00%,base32B_full60
fraud_type,60,35,41.67%,base8B_full60
police_team,22,6,72.73%,base8B_full60
writ_no,6,4,33.33%,base8B_full60
contact_person,6,4,33.33%,base8B_full60
cable_message,1,1,0.00%,base8B_full60
fraud_type,60,24,60.00%,base14B_full60
police_team,22,9,59.09%,base14B_full60
writ_no,6,2,66.67%,base14B_full60
contact_person,6,3,50.00%,base14B_full60
fraud_type,60,4,93.33%,cycle3_32Bv1_full60
police_team,22,0,100.00%,cycle3_32Bv1_full60
writ_no,6,2,66.67%,cycle3_32Bv1_full60
contact_person,6,2,66.67%,cycle3_32Bv1_full60
fraud_type,60,23,61.67%,cycle2_final7B_full60
police_team,22,6,72.73%,cycle2_final7B_full60
writ_no,6,2,66.67%,cycle2_final7B_full60
contact_person,6,2,66.67%,cycle2_final7B_full60
fraud_type,60,26,56.67%,base7B_full60
police_team,22,9,59.09%,base7B_full60
writ_no,6,3,50.00%,base7B_full60
contact_person,6,3,50.00%,base7B_full60
fraud_type,60,7,88.33%,cycle2_final32B_full60
police_team,22,5,77.27%,cycle2_final32B_full60
writ_no,6,2,66.67%,cycle2_final32B_full60
contact_person,6,2,66.67%,cycle2_final32B_full60
fraud_type,60,9,85.00%,cycle2_final14B_full60
police_team,22,1,95.45%,cycle2_final14B_full60
writ_no,6,2,66.67%,cycle2_final14B_full60
contact_person,6,2,66.67%,cycle2_final14B_full60
fraud_type,60,17,71.67%,cycle3_8Bv1_full60
police_team,22,5,77.27%,cycle3_8Bv1_full60
writ_no,6,2,66.67%,cycle3_8Bv1_full60
contact_person,6,2,66.67%,cycle3_8Bv1_full60
