Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,20,18,10.00%
ADCC,can_be_located,20,18,10.00%
ADCC,cancel_amount_requested,20,0,100.00%
ADCC,channel,20,10,50.00%
ADCC,currency,20,18,10.00%
ADCC,date,20,18,10.00%
ADCC,from.account_number,20,16,20.00%
ADCC,from.bank,20,16,20.00%
ADCC,from.name,20,18,10.00%
ADCC,to.account_number,20,18,10.00%
ADCC,to.bank,20,18,10.00%
ADCC,to.name,20,18,10.00%
ADCC,transaction_references.0,20,18,10.00%
HSBC Referral,amount,39,1,97.44%
HSBC Referral,can_be_located,39,1,97.44%
HSBC Referral,cancel_amount_requested,39,0,100.00%
HSBC Referral,channel,39,8,79.49%
HSBC Referral,currency,39,1,97.44%
HSBC Referral,date,39,1,97.44%
HSBC Referral,from.account_number,39,1,97.44%
HSBC Referral,from.bank,39,39,0.00%
HSBC Referral,from.name,39,16,58.97%
HSBC Referral,to.account_number,39,1,97.44%
HSBC Referral,to.bank,39,1,97.44%
HSBC Referral,to.name,39,35,10.26%
HSBC Referral,transaction_references.0,39,1,97.44%
ODFT,amount,6,0,100.00%
ODFT,can_be_located,6,0,100.00%
ODFT,cancel_amount_requested,6,0,100.00%
ODFT,channel,6,0,100.00%
ODFT,currency,6,0,100.00%
ODFT,date,6,0,100.00%
ODFT,from.account_number,6,0,100.00%
ODFT,from.bank,6,0,100.00%
ODFT,from.name,6,2,66.67%
ODFT,to.account_number,6,0,100.00%
ODFT,to.bank,6,2,66.67%
ODFT,to.name,6,1,83.33%
ODFT,transaction_references.0,6,0,100.00%
Police Letter,amount,14,0,100.00%
Police Letter,can_be_located,14,0,100.00%
Police Letter,cancel_amount_requested,14,0,100.00%
Police Letter,channel,14,0,100.00%
Police Letter,currency,14,0,100.00%
Police Letter,date,14,0,100.00%
Police Letter,from.account_number,14,0,100.00%
Police Letter,from.bank,14,3,78.57%
Police Letter,from.name,14,0,100.00%
Police Letter,to.account_number,14,0,100.00%
Police Letter,to.bank,14,0,100.00%
Police Letter,to.name,14,1,92.86%
Police Letter,transaction_references.0,14,0,100.00%
Search Warrant,amount,22,19,13.64%
Search Warrant,can_be_located,22,19,13.64%
Search Warrant,cancel_amount_requested,22,0,100.00%
Search Warrant,channel,22,9,59.09%
Search Warrant,currency,22,19,13.64%
Search Warrant,date,22,19,13.64%
Search Warrant,from.account_number,22,17,22.73%
Search Warrant,from.bank,22,3,86.36%
Search Warrant,from.name,22,17,22.73%
Search Warrant,to.account_number,22,19,13.64%
Search Warrant,to.bank,22,19,13.64%
Search Warrant,to.name,22,19,13.64%
Search Warrant,transaction_references.0,22,19,13.64%
UAR,amount,18,1,94.44%
UAR,can_be_located,18,0,100.00%
UAR,cancel_amount_requested,18,2,88.89%
UAR,channel,18,2,88.89%
UAR,currency,18,0,100.00%
UAR,date,18,0,100.00%
UAR,from.account_number,18,0,100.00%
UAR,from.bank,18,12,33.33%
UAR,from.name,18,4,77.78%
UAR,to.account_number,18,0,100.00%
UAR,to.bank,18,0,100.00%
UAR,to.name,18,9,50.00%
UAR,transaction_references.0,18,0,100.00%
