Type,total,all_fields_correct,mismatch_count,accuracy_rate,Model
ADCC,4,2,2,50.00%,base32b_full60
HSBC Referral,18,16,2,88.89%,base32b_full60
Police Letter,12,4,8,33.33%,base32b_full60
Search Warrant,6,2,4,33.33%,base32b_full60
UAR,16,11,5,68.75%,base32b_full60
ODFT,4,3,1,75.00%,base32b_full60
ADCC,4,1,3,25.00%,base8b_full60
HSBC Referral,18,14,4,77.78%,base8b_full60
Police Letter,12,0,12,0.00%,base8b_full60
Search Warrant,6,2,4,33.33%,base8b_full60
UAR,16,7,9,43.75%,base8b_full60
ODFT,4,4,0,100.00%,base8b_full60
ADCC,4,2,2,50.00%,cycle3_llama8b_full60
HSBC Referral,18,12,6,66.67%,cycle3_llama8b_full60
Police Letter,12,6,6,50.00%,cycle3_llama8b_full60
Search Warrant,6,4,2,66.67%,cycle3_llama8b_full60
UAR,16,7,9,43.75%,cycle3_llama8b_full60
ODFT,4,3,1,75.00%,cycle3_llama8b_full60
ADCC,4,4,0,100.00%,cycle3_qwen32b_full60
HSBC Referral,18,18,0,100.00%,cycle3_qwen32b_full60
Police Letter,12,12,0,100.00%,cycle3_qwen32b_full60
Search Warrant,6,6,0,100.00%,cycle3_qwen32b_full60
UAR,16,12,4,75.00%,cycle3_qwen32b_full60
ODFT,4,4,0,100.00%,cycle3_qwen32b_full60
ADCC,4,4,0,100.00%,cycle2_llama8b_full60
HSBC Referral,18,15,3,83.33%,cycle2_llama8b_full60
Police Letter,12,10,2,83.33%,cycle2_llama8b_full60
Search Warrant,6,6,0,100.00%,cycle2_llama8b_full60
UAR,16,10,6,62.50%,cycle2_llama8b_full60
ODFT,4,4,0,100.00%,cycle2_llama8b_full60
ADCC,4,4,0,100.00%,cycle2_qwen32b_full60
HSBC Referral,18,16,2,88.89%,cycle2_qwen32b_full60
Police Letter,12,12,0,100.00%,cycle2_qwen32b_full60
Search Warrant,6,2,4,33.33%,cycle2_qwen32b_full60
UAR,16,12,4,75.00%,cycle2_qwen32b_full60
ODFT,4,4,0,100.00%,cycle2_qwen32b_full60
ADCC,4,4,0,100.00%,cycle3_4355_32b_full60
HSBC Referral,18,18,0,100.00%,cycle3_4355_32b_full60
Police Letter,12,12,0,100.00%,cycle3_4355_32b_full60
Search Warrant,6,6,0,100.00%,cycle3_4355_32b_full60
UAR,16,16,0,100.00%,cycle3_4355_32b_full60
ODFT,4,4,0,100.00%,cycle3_4355_32b_full60
