Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,20,13,35.00%
ADCC,can_be_located,20,13,35.00%
ADCC,cancel_amount_requested,20,0,100.00%
ADCC,channel,20,9,55.00%
ADCC,currency,20,13,35.00%
ADCC,date,20,13,35.00%
ADCC,from.account_number,20,11,45.00%
ADCC,from.bank,20,12,40.00%
ADCC,from.name,20,13,35.00%
ADCC,to.account_number,20,13,35.00%
ADCC,to.bank,20,13,35.00%
ADCC,to.name,20,13,35.00%
ADCC,transaction_references.0,20,13,35.00%
HSBC Referral,amount,40,23,42.50%
HSBC Referral,can_be_located,40,23,42.50%
HSBC Referral,cancel_amount_requested,40,0,100.00%
HSBC Referral,channel,40,25,37.50%
HSBC Referral,currency,40,23,42.50%
HSBC Referral,date,40,23,42.50%
HSBC Referral,from.account_number,40,23,42.50%
HSBC Referral,from.bank,40,26,35.00%
HSBC Referral,from.name,40,30,25.00%
HSBC Referral,to.account_number,40,23,42.50%
HSBC Referral,to.bank,40,23,42.50%
HSBC Referral,to.name,40,29,27.50%
HSBC Referral,transaction_references.0,40,21,47.50%
ODFT,amount,6,1,83.33%
ODFT,can_be_located,6,1,83.33%
ODFT,cancel_amount_requested,6,0,100.00%
ODFT,channel,6,1,83.33%
ODFT,currency,6,1,83.33%
ODFT,date,6,1,83.33%
ODFT,from.account_number,6,1,83.33%
ODFT,from.bank,6,2,66.67%
ODFT,from.name,6,3,50.00%
ODFT,to.account_number,6,1,83.33%
ODFT,to.bank,6,1,83.33%
ODFT,to.name,6,3,50.00%
ODFT,transaction_references.0,6,1,83.33%
Police Letter,amount,14,6,57.14%
Police Letter,can_be_located,14,6,57.14%
Police Letter,cancel_amount_requested,14,0,100.00%
Police Letter,channel,14,6,57.14%
Police Letter,currency,14,6,57.14%
Police Letter,date,14,6,57.14%
Police Letter,from.account_number,14,2,85.71%
Police Letter,from.bank,14,2,85.71%
Police Letter,from.name,14,2,85.71%
Police Letter,to.account_number,14,6,57.14%
Police Letter,to.bank,14,6,57.14%
Police Letter,to.name,14,6,57.14%
Police Letter,transaction_references.0,14,6,57.14%
Search Warrant,amount,7,1,85.71%
Search Warrant,can_be_located,7,5,28.57%
Search Warrant,cancel_amount_requested,7,0,100.00%
Search Warrant,channel,7,2,71.43%
Search Warrant,currency,7,2,71.43%
Search Warrant,date,7,2,71.43%
Search Warrant,from.account_number,7,4,42.86%
Search Warrant,from.bank,7,2,71.43%
Search Warrant,from.name,7,2,71.43%
Search Warrant,to.account_number,7,2,71.43%
Search Warrant,to.bank,7,5,28.57%
Search Warrant,to.name,7,2,71.43%
Search Warrant,transaction_references.0,7,1,85.71%
UAR,amount,18,7,61.11%
UAR,can_be_located,18,7,61.11%
UAR,cancel_amount_requested,18,6,66.67%
UAR,channel,18,9,50.00%
UAR,currency,18,7,61.11%
UAR,date,18,5,72.22%
UAR,from.account_number,18,10,44.44%
UAR,from.bank,18,12,33.33%
UAR,from.name,18,9,50.00%
UAR,to.account_number,18,6,66.67%
UAR,to.bank,18,7,61.11%
UAR,to.name,18,11,38.89%
UAR,transaction_references.0,18,5,72.22%
