Type,Field,total,mismatch_count,accuracy_rate
ADCC,contact_person,3,0,100.00%
ADCC,fraud_type,3,0,100.00%
ADCC,police_team,3,0,100.00%
ADCC,writ_no,3,0,100.00%
HSBC Referral,contact_person,4,0,100.00%
HSBC Referral,fraud_type,4,0,100.00%
HSBC Referral,police_team,4,0,100.00%
HSBC Referral,writ_no,4,0,100.00%
ODFT,contact_person,2,0,100.00%
ODFT,fraud_type,2,1,50.00%
ODFT,police_team,2,0,100.00%
ODFT,writ_no,2,0,100.00%
Police Letter,contact_person,4,0,100.00%
Police Letter,fraud_type,4,1,75.00%
Police Letter,police_team,4,0,100.00%
Police Letter,writ_no,4,0,100.00%
Search Warrant,contact_person,2,0,100.00%
Search Warrant,fraud_type,2,0,100.00%
Search Warrant,police_team,2,0,100.00%
Search Warrant,writ_no,2,0,100.00%
UAR,contact_person,3,0,100.00%
UAR,fraud_type,3,1,66.67%
UAR,police_team,3,0,100.00%
UAR,writ_no,3,0,100.00%
