Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,4,0,100.00%
ADCC,can_be_located,4,0,100.00%
ADCC,cancel_amount_requested,4,0,100.00%
ADCC,channel,4,2,50.00%
ADCC,currency,4,0,100.00%
ADCC,date,4,0,100.00%
ADCC,from.account_number,4,0,100.00%
ADCC,from.bank,4,0,100.00%
ADCC,from.name,4,0,100.00%
ADCC,to.account_number,4,0,100.00%
ADCC,to.bank,4,0,100.00%
ADCC,to.name,4,0,100.00%
ADCC,transaction_references.0,4,0,100.00%
HSBC Referral,amount,5,0,100.00%
HSBC Referral,can_be_located,5,0,100.00%
HSBC Referral,cancel_amount_requested,5,0,100.00%
HSBC Referral,channel,5,1,80.00%
HSBC Referral,currency,5,0,100.00%
HSBC Referral,date,5,2,60.00%
HSBC Referral,from.account_number,5,0,100.00%
HSBC Referral,from.bank,5,2,60.00%
HSBC Referral,from.name,5,0,100.00%
HSBC Referral,to.account_number,5,0,100.00%
HSBC Referral,to.bank,5,0,100.00%
HSBC Referral,to.name,5,0,100.00%
HSBC Referral,transaction_references.0,5,0,100.00%
ODFT,amount,2,0,100.00%
ODFT,can_be_located,2,0,100.00%
ODFT,cancel_amount_requested,2,0,100.00%
ODFT,channel,2,1,50.00%
ODFT,currency,2,0,100.00%
ODFT,date,2,1,50.00%
ODFT,from.account_number,2,0,100.00%
ODFT,from.bank,2,0,100.00%
ODFT,from.name,2,0,100.00%
ODFT,to.account_number,2,1,50.00%
ODFT,to.bank,2,0,100.00%
ODFT,to.name,2,0,100.00%
ODFT,transaction_references.0,2,0,100.00%
Police Letter,amount,5,1,80.00%
Police Letter,can_be_located,5,1,80.00%
Police Letter,cancel_amount_requested,5,0,100.00%
Police Letter,channel,5,5,0.00%
Police Letter,currency,5,1,80.00%
Police Letter,date,5,1,80.00%
Police Letter,from.account_number,5,2,60.00%
Police Letter,from.bank,5,1,80.00%
Police Letter,from.name,5,1,80.00%
Police Letter,to.account_number,5,1,80.00%
Police Letter,to.bank,5,1,80.00%
Police Letter,to.name,5,1,80.00%
Police Letter,transaction_references.0,5,1,80.00%
Search Warrant,amount,17,16,5.88%
Search Warrant,can_be_located,17,16,5.88%
Search Warrant,cancel_amount_requested,17,0,100.00%
Search Warrant,channel,17,7,58.82%
Search Warrant,currency,17,16,5.88%
Search Warrant,date,17,16,5.88%
Search Warrant,from.account_number,17,12,29.41%
Search Warrant,from.bank,17,9,47.06%
Search Warrant,from.name,17,12,29.41%
Search Warrant,to.account_number,17,16,5.88%
Search Warrant,to.bank,17,16,5.88%
Search Warrant,to.name,17,16,5.88%
Search Warrant,transaction_references.0,17,16,5.88%
UAR,amount,3,1,66.67%
UAR,can_be_located,3,1,66.67%
UAR,cancel_amount_requested,3,0,100.00%
UAR,channel,3,2,33.33%
UAR,currency,3,1,66.67%
UAR,date,3,1,66.67%
UAR,from.account_number,3,1,66.67%
UAR,from.bank,3,2,33.33%
UAR,from.name,3,1,66.67%
UAR,to.account_number,3,1,66.67%
UAR,to.bank,3,1,66.67%
UAR,to.name,3,1,66.67%
UAR,transaction_references.0,3,1,66.67%
