Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,1,1,0.00%
ADCC,currency,1,1,0.00%
ADCC,date,1,1,0.00%
ADCC,depositor_account_name,1,1,0.00%
ADCC,depositor_account_number,1,1,0.00%
ADCC,fraud_type,4,3,25.00%
ADCC,police_reference,4,4,0.00%
ADCC,police_team,4,3,25.00%
ADCC,remitting_bank,1,1,0.00%
HSBC Referral,amount,1,1,0.00%
HSBC Referral,currency,1,1,0.00%
HSBC Referral,date,1,1,0.00%
HSBC Referral,fraud_type,18,4,77.78%
HSBC Referral,from.account_number,1,1,0.00%
HSBC Referral,from.bank,1,1,0.00%
HSBC Referral,from.name,1,1,0.00%
HSBC Referral,to.account_number,1,1,0.00%
HSBC Referral,to.bank,1,1,0.00%
HSBC Referral,to.name,1,1,0.00%
ODFT,fraud_type,4,2,50.00%
Police Letter,amount,4,4,0.00%
Police Letter,currency,2,2,0.00%
Police Letter,date,4,4,0.00%
Police Letter,fraud_type,12,7,41.67%
Police Letter,police_reference,12,7,41.67%
Police Letter,police_team,12,4,66.67%
Police Letter,transferor_bank_account,2,2,0.00%
Police Letter,transferor_bank_and_account,2,2,0.00%
Search Warrant,contact_person,6,3,50.00%
Search Warrant,fraud_type,6,2,66.67%
Search Warrant,police_reference,6,2,66.67%
Search Warrant,police_team,6,2,66.67%
Search Warrant,writ_no,6,2,66.67%
UAR,amount,2,2,0.00%
UAR,can_be_located,1,1,0.00%
UAR,cancel_amount_requested,1,1,0.00%
UAR,channel,1,1,0.00%
UAR,currency,2,2,0.00%
UAR,date,2,2,0.00%
UAR,fraud_type,16,16,0.00%
UAR,to.account_number,1,1,0.00%
UAR,to.bank,1,1,0.00%
UAR,to.name,1,1,0.00%
