Field,total,mismatch_count,accuracy_rate
fraud_type,60,28,53.33%
police_reference,22,8,63.64%
police_team,22,6,72.73%
writ_no,6,2,66.67%
contact_person,6,2,66.67%
Originating Amount,1,1,0.00%
Sending Bank Address,1,1,0.00%
Originator Account Number,1,1,0.00%
Originator Name,1,1,0.00%
Beneficiary Name,1,1,0.00%
Subject Type,1,1,0.00%
Originator Bank Raw,1,1,0.00%
Beneficiary Account Number,1,1,0.00%
Beneficiary Bank Raw,1,1,0.00%
Converted Amount,1,1,0.00%
Originating Currency,1,1,0.00%
Debit Credit Indicator,1,1,0.00%
