Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,20,18,10.00%
ADCC,can_be_located,20,18,10.00%
ADCC,channel,10,10,0.00%
ADCC,currency,20,18,10.00%
ADCC,date,20,18,10.00%
ADCC,from.account_number,18,16,11.11%
ADCC,from.bank,18,16,11.11%
ADCC,from.name,20,19,5.00%
ADCC,to.account_number,20,18,10.00%
ADCC,to.bank,20,18,10.00%
ADCC,to.name,20,18,10.00%
HSBC Referral,amount,45,35,22.22%
HSBC Referral,can_be_located,45,34,24.44%
HSBC Referral,cancel_amount_requested,6,0,100.00%
HSBC Referral,channel,43,35,18.60%
HSBC Referral,currency,45,34,24.44%
HSBC Referral,date,45,35,22.22%
HSBC Referral,from.account_number,45,35,22.22%
HSBC Referral,from.bank,45,39,13.33%
HSBC Referral,from.name,45,36,20.00%
HSBC Referral,to.account_number,45,36,20.00%
HSBC Referral,to.bank,45,37,17.78%
HSBC Referral,to.name,45,39,13.33%
ODFT,amount,5,3,40.00%
ODFT,can_be_located,5,3,40.00%
ODFT,cancel_amount_requested,1,0,100.00%
ODFT,channel,5,3,40.00%
ODFT,currency,5,3,40.00%
ODFT,date,5,4,20.00%
ODFT,from.account_number,5,3,40.00%
ODFT,from.bank,5,3,40.00%
ODFT,from.name,5,4,20.00%
ODFT,to.account_number,5,4,20.00%
ODFT,to.bank,5,3,40.00%
ODFT,to.name,5,4,20.00%
Police Letter,amount,14,5,64.29%
Police Letter,can_be_located,14,5,64.29%
Police Letter,cancel_amount_requested,2,0,100.00%
Police Letter,channel,14,6,57.14%
Police Letter,currency,14,5,64.29%
Police Letter,date,14,5,64.29%
Police Letter,from.account_number,10,6,40.00%
Police Letter,from.bank,7,5,28.57%
Police Letter,from.name,10,6,40.00%
Police Letter,to.account_number,14,8,42.86%
Police Letter,to.bank,14,9,35.71%
Police Letter,to.name,14,9,35.71%
Search Warrant,amount,12,9,25.00%
Search Warrant,can_be_located,12,9,25.00%
Search Warrant,cancel_amount_requested,3,0,100.00%
Search Warrant,channel,12,9,25.00%
Search Warrant,currency,12,9,25.00%
Search Warrant,date,12,9,25.00%
Search Warrant,from.account_number,12,9,25.00%
Search Warrant,from.bank,12,9,25.00%
Search Warrant,from.name,12,9,25.00%
Search Warrant,to.account_number,12,9,25.00%
Search Warrant,to.bank,12,9,25.00%
Search Warrant,to.name,12,9,25.00%
UAR,amount,18,4,77.78%
UAR,can_be_located,18,4,77.78%
UAR,cancel_amount_requested,13,5,61.54%
UAR,channel,17,10,41.18%
UAR,currency,18,4,77.78%
UAR,date,18,8,55.56%
UAR,from.account_number,17,8,52.94%
UAR,from.bank,17,12,29.41%
UAR,from.name,17,9,47.06%
UAR,to.account_number,18,8,55.56%
UAR,to.bank,18,14,22.22%
UAR,to.name,18,12,33.33%
