Type,Field,total,mismatch_count,accuracy_rate
ADCC,contact_person,4,0,100.00%
ADCC,fraud_type,4,0,100.00%
ADCC,police_team,4,3,25.00%
ADCC,writ_no,4,0,100.00%
HSBC Referral,contact_person,18,0,100.00%
HSBC Referral,fraud_type,18,4,77.78%
HSBC Referral,police_team,18,0,100.00%
HSBC Referral,writ_no,18,0,100.00%
ODFT,contact_person,4,0,100.00%
ODFT,fraud_type,4,0,100.00%
ODFT,police_team,4,0,100.00%
ODFT,writ_no,4,0,100.00%
Police Letter,contact_person,12,0,100.00%
Police Letter,fraud_type,12,12,0.00%
Police Letter,police_team,12,4,66.67%
Police Letter,writ_no,12,0,100.00%
Search Warrant,contact_person,6,2,66.67%
Search Warrant,fraud_type,6,2,66.67%
Search Warrant,police_team,6,4,33.33%
Search Warrant,writ_no,6,2,66.67%
UAR,contact_person,16,0,100.00%
UAR,fraud_type,16,9,43.75%
UAR,police_team,16,0,100.00%
UAR,writ_no,16,0,100.00%
