Field,total,mismatch_count,accuracy_rate,Model
fraud_type,18,0,100.00%,Qwen32B_rematch_exam18
police_team,18,0,100.00%,Qwen32B_rematch_exam18
contact_person,18,0,100.00%,Qwen32B_rematch_exam18
writ_no,18,0,100.00%,Qwen32B_rematch_exam18
fraud_type,18,3,83.33%,Qwen14B_4355_v2_exam18
police_team,18,0,100.00%,Qwen14B_4355_v2_exam18
contact_person,18,0,100.00%,Qwen14B_4355_v2_exam18
writ_no,18,0,100.00%,Qwen14B_4355_v2_exam18
fraud_type,18,1,94.44%,Qwen32B_4355_v2_exam18
police_team,18,0,100.00%,Qwen32B_4355_v2_exam18
contact_person,18,0,100.00%,Qwen32B_4355_v2_exam18
writ_no,18,0,100.00%,Qwen32B_4355_v2_exam18
fraud_type,18,3,83.33%,Qwen14B_4355_v3_exam18
police_team,18,0,100.00%,Qwen14B_4355_v3_exam18
contact_person,18,0,100.00%,Qwen14B_4355_v3_exam18
writ_no,18,0,100.00%,Qwen14B_4355_v3_exam18
fraud_type,18,0,100.00%,Qwen32B_4355_v3_exam18
police_team,18,0,100.00%,Qwen32B_4355_v3_exam18
contact_person,18,0,100.00%,Qwen32B_4355_v3_exam18
writ_no,18,0,100.00%,Qwen32B_4355_v3_exam18
