Field,total,mismatch_count,accuracy_rate,Model
to.name,102,16,84.31%,cycle3_qwen32b_4380_full60
currency,102,6,94.12%,cycle3_qwen32b_4380_full60
amount,102,7,93.14%,cycle3_qwen32b_4380_full60
transaction_references.0,102,4,96.08%,cycle3_qwen32b_4380_full60
date,102,4,96.08%,cycle3_qwen32b_4380_full60
to.bank,102,8,92.16%,cycle3_qwen32b_4380_full60
can_be_located,102,6,94.12%,cycle3_qwen32b_4380_full60
to.account_number,102,6,94.12%,cycle3_qwen32b_4380_full60
channel,102,8,92.16%,cycle3_qwen32b_4380_full60
from.name,102,24,76.47%,cycle3_qwen32b_4380_full60
from.account_number,102,3,97.06%,cycle3_qwen32b_4380_full60
from.bank,102,20,80.39%,cycle3_qwen32b_4380_full60
cancel_amount_requested,102,1,99.02%,cycle3_qwen32b_4380_full60
