Type,Field,total,mismatch_count,accuracy_rate,Model
ADCC,contact_person,4,0,100.00%,base32b_full60
ADCC,fraud_type,4,2,50.00%,base32b_full60
ADCC,police_team,4,2,50.00%,base32b_full60
ADCC,writ_no,4,0,100.00%,base32b_full60
HSBC Referral,contact_person,18,0,100.00%,base32b_full60
HSBC Referral,fraud_type,18,2,88.89%,base32b_full60
HSBC Referral,police_team,18,0,100.00%,base32b_full60
HSBC Referral,writ_no,18,0,100.00%,base32b_full60
ODFT,contact_person,4,0,100.00%,base32b_full60
ODFT,fraud_type,4,1,75.00%,base32b_full60
ODFT,police_team,4,0,100.00%,base32b_full60
ODFT,writ_no,4,0,100.00%,base32b_full60
Police Letter,contact_person,12,0,100.00%,base32b_full60
Police Letter,fraud_type,12,8,33.33%,base32b_full60
Police Letter,police_team,12,2,83.33%,base32b_full60
Police Letter,writ_no,12,0,100.00%,base32b_full60
Search Warrant,contact_person,6,0,100.00%,base32b_full60
Search Warrant,fraud_type,6,0,100.00%,base32b_full60
Search Warrant,police_team,6,4,33.33%,base32b_full60
Search Warrant,writ_no,6,0,100.00%,base32b_full60
UAR,contact_person,16,0,100.00%,base32b_full60
UAR,fraud_type,16,5,68.75%,base32b_full60
UAR,police_team,16,0,100.00%,base32b_full60
UAR,writ_no,16,0,100.00%,base32b_full60
ADCC,contact_person,4,0,100.00%,base8b_full60
ADCC,fraud_type,4,0,100.00%,base8b_full60
ADCC,police_team,4,3,25.00%,base8b_full60
ADCC,writ_no,4,0,100.00%,base8b_full60
HSBC Referral,contact_person,18,0,100.00%,base8b_full60
HSBC Referral,fraud_type,18,4,77.78%,base8b_full60
HSBC Referral,police_team,18,0,100.00%,base8b_full60
HSBC Referral,writ_no,18,0,100.00%,base8b_full60
ODFT,contact_person,4,0,100.00%,base8b_full60
ODFT,fraud_type,4,0,100.00%,base8b_full60
ODFT,police_team,4,0,100.00%,base8b_full60
ODFT,writ_no,4,0,100.00%,base8b_full60
Police Letter,contact_person,12,0,100.00%,base8b_full60
Police Letter,fraud_type,12,12,0.00%,base8b_full60
Police Letter,police_team,12,4,66.67%,base8b_full60
Police Letter,writ_no,12,0,100.00%,base8b_full60
Search Warrant,contact_person,6,2,66.67%,base8b_full60
Search Warrant,fraud_type,6,2,66.67%,base8b_full60
Search Warrant,police_team,6,4,33.33%,base8b_full60
Search Warrant,writ_no,6,2,66.67%,base8b_full60
UAR,contact_person,16,0,100.00%,base8b_full60
UAR,fraud_type,16,9,43.75%,base8b_full60
UAR,police_team,16,0,100.00%,base8b_full60
UAR,writ_no,16,0,100.00%,base8b_full60
ADCC,contact_person,4,0,100.00%,cycle3_llama8b_full60
ADCC,fraud_type,4,2,50.00%,cycle3_llama8b_full60
ADCC,police_team,4,2,50.00%,cycle3_llama8b_full60
ADCC,writ_no,4,0,100.00%,cycle3_llama8b_full60
HSBC Referral,contact_person,18,0,100.00%,cycle3_llama8b_full60
HSBC Referral,fraud_type,18,6,66.67%,cycle3_llama8b_full60
HSBC Referral,police_team,18,0,100.00%,cycle3_llama8b_full60
HSBC Referral,writ_no,18,0,100.00%,cycle3_llama8b_full60
ODFT,contact_person,4,0,100.00%,cycle3_llama8b_full60
ODFT,fraud_type,4,1,75.00%,cycle3_llama8b_full60
ODFT,police_team,4,0,100.00%,cycle3_llama8b_full60
ODFT,writ_no,4,0,100.00%,cycle3_llama8b_full60
