Type,Field,total,mismatch_count,accuracy_rate,Model
ADCC,amount,20,18,10.00%,base32B_full60
ADCC,can_be_located,20,18,10.00%,base32B_full60
ADCC,cancel_amount_requested,20,0,100.00%,base32B_full60
ADCC,channel,20,10,50.00%,base32B_full60
ADCC,currency,20,18,10.00%,base32B_full60
ADCC,date,20,18,10.00%,base32B_full60
ADCC,from.account_number,20,16,20.00%,base32B_full60
ADCC,from.bank,20,16,20.00%,base32B_full60
ADCC,from.name,20,18,10.00%,base32B_full60
ADCC,to.account_number,20,18,10.00%,base32B_full60
ADCC,to.bank,20,18,10.00%,base32B_full60
ADCC,to.name,20,18,10.00%,base32B_full60
ADCC,transaction_references.0,20,18,10.00%,base32B_full60
HSBC Referral,amount,39,1,97.44%,base32B_full60
HSBC Referral,can_be_located,39,1,97.44%,base32B_full60
HSBC Referral,cancel_amount_requested,39,0,100.00%,base32B_full60
HSBC Referral,channel,39,8,79.49%,base32B_full60
HSBC Referral,currency,39,1,97.44%,base32B_full60
HSBC Referral,date,39,1,97.44%,base32B_full60
HSBC Referral,from.account_number,39,1,97.44%,base32B_full60
HSBC Referral,from.bank,39,39,0.00%,base32B_full60
HSBC Referral,from.name,39,16,58.97%,base32B_full60
HSBC Referral,to.account_number,39,1,97.44%,base32B_full60
HSBC Referral,to.bank,39,1,97.44%,base32B_full60
HSBC Referral,to.name,39,35,10.26%,base32B_full60
HSBC Referral,transaction_references.0,39,1,97.44%,base32B_full60
ODFT,amount,6,0,100.00%,base32B_full60
ODFT,can_be_located,6,0,100.00%,base32B_full60
ODFT,cancel_amount_requested,6,0,100.00%,base32B_full60
ODFT,channel,6,0,100.00%,base32B_full60
ODFT,currency,6,0,100.00%,base32B_full60
ODFT,date,6,0,100.00%,base32B_full60
ODFT,from.account_number,6,0,100.00%,base32B_full60
ODFT,from.bank,6,0,100.00%,base32B_full60
ODFT,from.name,6,2,66.67%,base32B_full60
ODFT,to.account_number,6,0,100.00%,base32B_full60
ODFT,to.bank,6,2,66.67%,base32B_full60
ODFT,to.name,6,1,83.33%,base32B_full60
ODFT,transaction_references.0,6,0,100.00%,base32B_full60
Police Letter,amount,14,0,100.00%,base32B_full60
Police Letter,can_be_located,14,0,100.00%,base32B_full60
Police Letter,cancel_amount_requested,14,0,100.00%,base32B_full60
Police Letter,channel,14,0,100.00%,base32B_full60
Police Letter,currency,14,0,100.00%,base32B_full60
Police Letter,date,14,0,100.00%,base32B_full60
Police Letter,from.account_number,14,0,100.00%,base32B_full60
Police Letter,from.bank,14,3,78.57%,base32B_full60
Police Letter,from.name,14,0,100.00%,base32B_full60
Police Letter,to.account_number,14,0,100.00%,base32B_full60
Police Letter,to.bank,14,0,100.00%,base32B_full60
Police Letter,to.name,14,1,92.86%,base32B_full60
Police Letter,transaction_references.0,14,0,100.00%,base32B_full60
Search Warrant,amount,22,19,13.64%,base32B_full60
Search Warrant,can_be_located,22,19,13.64%,base32B_full60
Search Warrant,cancel_amount_requested,22,0,100.00%,base32B_full60
Search Warrant,channel,22,9,59.09%,base32B_full60
Search Warrant,currency,22,19,13.64%,base32B_full60
Search Warrant,date,22,19,13.64%,base32B_full60
Search Warrant,from.account_number,22,17,22.73%,base32B_full60
Search Warrant,from.bank,22,3,86.36%,base32B_full60
Search Warrant,from.name,22,17,22.73%,base32B_full60
Search Warrant,to.account_number,22,19,13.64%,base32B_full60
Search Warrant,to.bank,22,19,13.64%,base32B_full60
Search Warrant,to.name,22,19,13.64%,base32B_full60
Search Warrant,transaction_references.0,22,19,13.64%,base32B_full60
UAR,amount,18,1,94.44%,base32B_full60
UAR,can_be_located,18,0,100.00%,base32B_full60
UAR,cancel_amount_requested,18,2,88.89%,base32B_full60
UAR,channel,18,2,88.89%,base32B_full60
UAR,currency,18,0,100.00%,base32B_full60
UAR,date,18,0,100.00%,base32B_full60
UAR,from.account_number,18,0,100.00%,base32B_full60
UAR,from.bank,18,12,33.33%,base32B_full60
UAR,from.name,18,4,77.78%,base32B_full60
UAR,to.account_number,18,0,100.00%,base32B_full60
UAR,to.bank,18,0,100.00%,base32B_full60
UAR,to.name,18,9,50.00%,base32B_full60
UAR,transaction_references.0,18,0,100.00%,base32B_full60
ADCC,amount,20,0,100.00%,cycle3_32Bv2_full60
ADCC,can_be_located,20,0,100.00%,cycle3_32Bv2_full60
ADCC,cancel_amount_requested,20,0,100.00%,cycle3_32Bv2_full60
ADCC,channel,20,0,100.00%,cycle3_32Bv2_full60
ADCC,currency,20,0,100.00%,cycle3_32Bv2_full60
ADCC,date,20,0,100.00%,cycle3_32Bv2_full60
ADCC,from.account_number,20,0,100.00%,cycle3_32Bv2_full60
ADCC,from.bank,20,1,95.00%,cycle3_32Bv2_full60
ADCC,from.name,20,1,95.00%,cycle3_32Bv2_full60
ADCC,to.account_number,20,0,100.00%,cycle3_32Bv2_full60
ADCC,to.bank,20,0,100.00%,cycle3_32Bv2_full60
ADCC,to.name,20,0,100.00%,cycle3_32Bv2_full60
ADCC,transaction_references.0,20,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,amount,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,can_be_located,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,cancel_amount_requested,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,channel,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,currency,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,date,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,from.account_number,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,from.bank,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,from.name,38,5,86.84%,cycle3_32Bv2_full60
HSBC Referral,to.account_number,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,to.bank,38,0,100.00%,cycle3_32Bv2_full60
HSBC Referral,to.name,38,1,97.37%,cycle3_32Bv2_full60
HSBC Referral,transaction_references.0,38,0,100.00%,cycle3_32Bv2_full60
ODFT,amount,6,0,100.00%,cycle3_32Bv2_full60
ODFT,can_be_located,6,0,100.00%,cycle3_32Bv2_full60
ODFT,cancel_amount_requested,6,0,100.00%,cycle3_32Bv2_full60
ODFT,channel,6,0,100.00%,cycle3_32Bv2_full60
ODFT,currency,6,0,100.00%,cycle3_32Bv2_full60
ODFT,date,6,0,100.00%,cycle3_32Bv2_full60
ODFT,from.account_number,6,0,100.00%,cycle3_32Bv2_full60
ODFT,from.bank,6,0,100.00%,cycle3_32Bv2_full60
ODFT,from.name,6,1,83.33%,cycle3_32Bv2_full60
ODFT,to.account_number,6,0,100.00%,cycle3_32Bv2_full60
ODFT,to.bank,6,0,100.00%,cycle3_32Bv2_full60
ODFT,to.name,6,0,100.00%,cycle3_32Bv2_full60
ODFT,transaction_references.0,6,0,100.00%,cycle3_32Bv2_full60
Police Letter,amount,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,can_be_located,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,cancel_amount_requested,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,channel,14,0,100.00%,cycle3_32Bv2_full60
Police Letter,currency,14,0,100.00%,cycle3_32Bv2_full60
