Type,total,all_fields_correct,mismatch_count,accuracy_rate,Model
UAR,3,3,0,100.00%,Qwen32B_rematch_exam18
ODFT,2,2,0,100.00%,Qwen32B_rematch_exam18
ADCC,3,3,0,100.00%,Qwen32B_rematch_exam18
HSBC Referral,4,4,0,100.00%,Qwen32B_rematch_exam18
Police Letter,4,4,0,100.00%,Qwen32B_rematch_exam18
Search Warrant,2,2,0,100.00%,Qwen32B_rematch_exam18
UAR,3,3,0,100.00%,Qwen32B_4355_v2_exam18
ODFT,2,1,1,50.00%,Qwen32B_4355_v2_exam18
ADCC,3,3,0,100.00%,Qwen32B_4355_v2_exam18
HSBC Referral,4,4,0,100.00%,Qwen32B_4355_v2_exam18
Police Letter,4,4,0,100.00%,Qwen32B_4355_v2_exam18
Search Warrant,2,2,0,100.00%,Qwen32B_4355_v2_exam18
UAR,3,3,0,100.00%,Qwen32B_4355_v3_exam18
ODFT,2,2,0,100.00%,Qwen32B_4355_v3_exam18
ADCC,3,3,0,100.00%,Qwen32B_4355_v3_exam18
HSBC Referral,4,4,0,100.00%,Qwen32B_4355_v3_exam18
Police Letter,4,4,0,100.00%,Qwen32B_4355_v3_exam18
Search Warrant,2,2,0,100.00%,Qwen32B_4355_v3_exam18
