Type,total,all_fields_correct,mismatch_count,accuracy_rate,Model
ADCC,20,0,20,0.00%,base32B_full60
HSBC Referral,39,18,21,46.15%,base32B_full60
Police Letter,14,13,1,92.86%,base32B_full60
Search Warrant,22,3,19,13.64%,base32B_full60
UAR,18,8,10,44.44%,base32B_full60
ODFT,6,3,3,50.00%,base32B_full60
ADCC,20,19,1,95.00%,cycle3_32Bv2_full60
HSBC Referral,38,36,2,94.74%,cycle3_32Bv2_full60
Police Letter,14,13,1,92.86%,cycle3_32Bv2_full60
Search Warrant,6,6,0,100.00%,cycle3_32Bv2_full60
UAR,18,9,9,50.00%,cycle3_32Bv2_full60
ODFT,6,6,0,100.00%,cycle3_32Bv2_full60
ADCC,20,8,12,40.00%,cycle2_final32B_full60
HSBC Referral,39,18,21,46.15%,cycle2_final32B_full60
Police Letter,14,13,1,92.86%,cycle2_final32B_full60
Search Warrant,6,6,0,100.00%,cycle2_final32B_full60
UAR,18,8,10,44.44%,cycle2_final32B_full60
ODFT,6,2,4,33.33%,cycle2_final32B_full60
