Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,20,9,55.00%
ADCC,can_be_located,20,9,55.00%
ADCC,cancel_amount_requested,9,0,100.00%
ADCC,channel,15,4,73.33%
ADCC,currency,20,9,55.00%
ADCC,date,20,9,55.00%
ADCC,from.account_number,18,8,55.56%
ADCC,from.bank,18,8,55.56%
ADCC,from.name,20,11,45.00%
ADCC,to.account_number,20,9,55.00%
ADCC,to.bank,20,9,55.00%
ADCC,to.name,20,9,55.00%
HSBC Referral,amount,43,13,69.77%
HSBC Referral,can_be_located,43,11,74.42%
HSBC Referral,cancel_amount_requested,19,0,100.00%
HSBC Referral,channel,43,13,69.77%
HSBC Referral,currency,43,11,74.42%
HSBC Referral,date,43,18,58.14%
HSBC Referral,from.account_number,43,18,58.14%
HSBC Referral,from.bank,43,23,46.51%
HSBC Referral,from.name,43,22,48.84%
HSBC Referral,to.account_number,43,18,58.14%
HSBC Referral,to.bank,43,22,48.84%
HSBC Referral,to.name,43,24,44.19%
ODFT,amount,5,3,40.00%
ODFT,can_be_located,5,2,60.00%
ODFT,cancel_amount_requested,1,0,100.00%
ODFT,channel,5,2,60.00%
ODFT,currency,5,2,60.00%
ODFT,date,5,4,20.00%
ODFT,from.account_number,5,3,40.00%
ODFT,from.bank,5,3,40.00%
ODFT,from.name,5,3,40.00%
ODFT,to.account_number,5,4,20.00%
ODFT,to.bank,5,3,40.00%
ODFT,to.name,5,4,20.00%
Police Letter,amount,14,0,100.00%
Police Letter,can_be_located,14,0,100.00%
Police Letter,cancel_amount_requested,9,0,100.00%
Police Letter,channel,14,0,100.00%
Police Letter,currency,14,0,100.00%
Police Letter,date,14,1,92.86%
Police Letter,from.account_number,12,1,91.67%
Police Letter,from.bank,11,1,90.91%
Police Letter,from.name,11,0,100.00%
Police Letter,to.account_number,14,0,100.00%
Police Letter,to.bank,14,4,71.43%
Police Letter,to.name,14,2,85.71%
Search Warrant,amount,6,0,100.00%
Search Warrant,can_be_located,6,0,100.00%
Search Warrant,cancel_amount_requested,6,0,100.00%
Search Warrant,channel,6,0,100.00%
Search Warrant,currency,6,0,100.00%
Search Warrant,date,6,0,100.00%
Search Warrant,from.account_number,6,0,100.00%
Search Warrant,from.bank,6,0,100.00%
Search Warrant,from.name,6,0,100.00%
Search Warrant,to.account_number,6,0,100.00%
Search Warrant,to.bank,6,0,100.00%
Search Warrant,to.name,6,0,100.00%
UAR,amount,18,1,94.44%
UAR,can_be_located,18,1,94.44%
UAR,cancel_amount_requested,14,3,78.57%
UAR,channel,18,1,94.44%
UAR,currency,18,1,94.44%
UAR,date,18,3,83.33%
UAR,from.account_number,14,2,85.71%
UAR,from.bank,15,3,80.00%
UAR,from.name,17,4,76.47%
UAR,to.account_number,18,3,83.33%
UAR,to.bank,18,5,72.22%
UAR,to.name,18,11,38.89%
