Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,2,2,0.00%
ADCC,can_be_located,2,2,0.00%
ADCC,channel,1,1,0.00%
ADCC,currency,2,2,0.00%
ADCC,date,2,2,0.00%
ADCC,fraud_type,4,3,25.00%
ADCC,from.account_number,2,2,0.00%
ADCC,from.bank,1,1,0.00%
ADCC,from.name,2,2,0.00%
ADCC,police_reference,4,4,0.00%
ADCC,police_team,4,3,25.00%
ADCC,to.account_number,2,2,0.00%
ADCC,to.bank,1,1,0.00%
ADCC,to.name,2,2,0.00%
HSBC Referral,amount,7,7,0.00%
HSBC Referral,can_be_located,7,7,0.00%
HSBC Referral,channel,5,5,0.00%
HSBC Referral,currency,7,7,0.00%
HSBC Referral,date,7,7,0.00%
HSBC Referral,fraud_type,18,9,50.00%
HSBC Referral,from.account_number,7,7,0.00%
HSBC Referral,from.bank,7,7,0.00%
HSBC Referral,from.name,7,7,0.00%
HSBC Referral,to.account_number,7,7,0.00%
HSBC Referral,to.bank,7,7,0.00%
HSBC Referral,to.name,7,7,0.00%
ODFT,fraud_type,4,0,100.00%
Police Letter,amount,3,3,0.00%
Police Letter,can_be_located,3,3,0.00%
Police Letter,channel,3,3,0.00%
Police Letter,currency,3,3,0.00%
Police Letter,date,3,3,0.00%
Police Letter,fraud_type,12,3,75.00%
Police Letter,from.account_number,1,1,0.00%
Police Letter,from.bank,1,1,0.00%
Police Letter,police_reference,12,3,75.00%
Police Letter,police_team,12,3,75.00%
Police Letter,to.account_number,2,2,0.00%
Police Letter,to.name,3,3,0.00%
Search Warrant,contact_person,6,2,66.67%
Search Warrant,fraud_type,6,6,0.00%
Search Warrant,police_reference,6,0,100.00%
Search Warrant,police_team,6,0,100.00%
Search Warrant,writ_no,6,2,66.67%
UAR,amount,5,5,0.00%
UAR,can_be_located,5,5,0.00%
UAR,cancel_amount_requested,3,3,0.00%
UAR,channel,5,5,0.00%
UAR,currency,5,5,0.00%
UAR,date,5,5,0.00%
UAR,fraud_type,16,16,0.00%
UAR,from.account_number,5,5,0.00%
UAR,from.bank,3,3,0.00%
UAR,from.name,5,5,0.00%
UAR,to.account_number,5,5,0.00%
UAR,to.bank,3,3,0.00%
UAR,to.name,5,5,0.00%
