Type,Field,total,mismatch_count,accuracy_rate
ADCC,fraud_type,4,3,25.00%
ADCC,police_reference,4,3,25.00%
ADCC,police_team,4,3,25.00%
HSBC Referral,amount,1,1,0.00%
HSBC Referral,can_be_located,1,1,0.00%
HSBC Referral,channel,1,1,0.00%
HSBC Referral,currency,1,1,0.00%
HSBC Referral,date,1,1,0.00%
HSBC Referral,fraud_type,18,6,66.67%
HSBC Referral,from.account_number,1,1,0.00%
HSBC Referral,from.bank,1,1,0.00%
HSBC Referral,from.name,1,1,0.00%
HSBC Referral,to.account_number,1,1,0.00%
HSBC Referral,to.bank,1,1,0.00%
HSBC Referral,to.name,1,1,0.00%
ODFT,fraud_type,4,1,75.00%
Police Letter,fraud_type,12,2,83.33%
Police Letter,police_reference,12,3,75.00%
Police Letter,police_team,12,2,83.33%
Search Warrant,contact_person,6,2,66.67%
Search Warrant,fraud_type,6,5,16.67%
Search Warrant,police_reference,6,0,100.00%
Search Warrant,police_team,6,0,100.00%
Search Warrant,writ_no,6,2,66.67%
UAR,fraud_type,16,10,37.50%
