Type,Field,total,mismatch_count,accuracy_rate
ADCC,amount,20,0,100.00%
ADCC,can_be_located,20,0,100.00%
ADCC,cancel_amount_requested,20,0,100.00%
ADCC,channel,20,0,100.00%
ADCC,currency,20,0,100.00%
ADCC,date,20,0,100.00%
ADCC,from.account_number,20,0,100.00%
ADCC,from.bank,20,1,95.00%
ADCC,from.name,20,1,95.00%
ADCC,to.account_number,20,0,100.00%
ADCC,to.bank,20,0,100.00%
ADCC,to.name,20,0,100.00%
ADCC,transaction_references.0,20,0,100.00%
HSBC Referral,amount,38,0,100.00%
HSBC Referral,can_be_located,38,0,100.00%
HSBC Referral,cancel_amount_requested,38,0,100.00%
HSBC Referral,channel,38,0,100.00%
HSBC Referral,currency,38,0,100.00%
HSBC Referral,date,38,0,100.00%
HSBC Referral,from.account_number,38,0,100.00%
HSBC Referral,from.bank,38,0,100.00%
HSBC Referral,from.name,38,5,86.84%
HSBC Referral,to.account_number,38,0,100.00%
HSBC Referral,to.bank,38,0,100.00%
HSBC Referral,to.name,38,1,97.37%
HSBC Referral,transaction_references.0,38,0,100.00%
ODFT,amount,6,0,100.00%
ODFT,can_be_located,6,0,100.00%
ODFT,cancel_amount_requested,6,0,100.00%
ODFT,channel,6,0,100.00%
ODFT,currency,6,0,100.00%
ODFT,date,6,0,100.00%
ODFT,from.account_number,6,0,100.00%
ODFT,from.bank,6,0,100.00%
ODFT,from.name,6,1,83.33%
ODFT,to.account_number,6,0,100.00%
ODFT,to.bank,6,0,100.00%
ODFT,to.name,6,0,100.00%
ODFT,transaction_references.0,6,0,100.00%
Police Letter,amount,14,0,100.00%
Police Letter,can_be_located,14,0,100.00%
Police Letter,cancel_amount_requested,14,0,100.00%
Police Letter,channel,14,0,100.00%
Police Letter,currency,14,0,100.00%
Police Letter,date,14,0,100.00%
Police Letter,from.account_number,14,0,100.00%
Police Letter,from.bank,14,2,85.71%
Police Letter,from.name,14,0,100.00%
Police Letter,to.account_number,14,0,100.00%
Police Letter,to.bank,14,0,100.00%
Police Letter,to.name,14,1,92.86%
Police Letter,transaction_references.0,14,0,100.00%
Search Warrant,amount,6,0,100.00%
Search Warrant,can_be_located,6,0,100.00%
Search Warrant,cancel_amount_requested,6,0,100.00%
Search Warrant,channel,6,0,100.00%
Search Warrant,currency,6,0,100.00%
Search Warrant,date,6,0,100.00%
Search Warrant,from.account_number,6,0,100.00%
Search Warrant,from.bank,6,0,100.00%
Search Warrant,from.name,6,0,100.00%
Search Warrant,to.account_number,6,0,100.00%
Search Warrant,to.bank,6,0,100.00%
Search Warrant,to.name,6,0,100.00%
Search Warrant,transaction_references.0,6,0,100.00%
UAR,amount,18,3,83.33%
UAR,can_be_located,18,3,83.33%
UAR,cancel_amount_requested,18,1,94.44%
UAR,channel,18,6,66.67%
UAR,currency,18,3,83.33%
UAR,date,18,3,83.33%
UAR,from.account_number,18,2,88.89%
UAR,from.bank,18,10,44.44%
UAR,from.name,18,2,88.89%
UAR,to.account_number,18,3,83.33%
UAR,to.bank,18,3,83.33%
UAR,to.name,18,3,83.33%
UAR,transaction_references.0,18,2,88.89%
