Model,Type,Total,Overall_Pass,Overall_Pass_Rate,Global_Field_Pass,Global_Field_Pass_Rate,Alerted_Transactions_Pass,Alerted_Transactions_Pass_Rate
Qwen32B_rematch_exam18,UAR,3,2,66.67%,3,100.00%,2,66.67%
Qwen32B_rematch_exam18,ODFT,2,1,50.00%,2,100.00%,1,50.00%
Qwen32B_rematch_exam18,ADCC,3,2,66.67%,3,100.00%,2,66.67%
Qwen32B_rematch_exam18,HSBC Referral,4,1,25.00%,4,100.00%,1,25.00%
Qwen32B_rematch_exam18,Police Letter,4,2,50.00%,4,100.00%,2,50.00%
Qwen32B_rematch_exam18,Search Warrant,2,2,100.00%,2,100.00%,2,100.00%
Qwen14B_4355_v2_exam18,UAR,3,0,0.00%,1,33.33%,1,33.33%
Qwen14B_4355_v2_exam18,ODFT,2,1,50.00%,1,50.00%,1,50.00%
Qwen14B_4355_v2_exam18,ADCC,3,2,66.67%,3,100.00%,2,66.67%
Qwen14B_4355_v2_exam18,HSBC Referral,4,4,100.00%,4,100.00%,4,100.00%
Qwen14B_4355_v2_exam18,Police Letter,4,2,50.00%,4,100.00%,2,50.00%
Qwen14B_4355_v2_exam18,Search Warrant,2,2,100.00%,2,100.00%,2,100.00%
Qwen32B_4355_v2_exam18,UAR,3,2,66.67%,3,100.00%,2,66.67%
Qwen32B_4355_v2_exam18,ODFT,2,1,50.00%,1,50.00%,1,50.00%
Qwen32B_4355_v2_exam18,ADCC,3,2,66.67%,3,100.00%,2,66.67%
Qwen32B_4355_v2_exam18,HSBC Referral,4,1,25.00%,4,100.00%,1,25.00%
Qwen32B_4355_v2_exam18,Police Letter,4,1,25.00%,4,100.00%,1,25.00%
Qwen32B_4355_v2_exam18,Search Warrant,2,2,100.00%,2,100.00%,2,100.00%
Qwen14B_4355_v3_exam18,UAR,3,0,0.00%,2,66.67%,0,0.00%
Qwen14B_4355_v3_exam18,ODFT,2,1,50.00%,1,50.00%,1,50.00%
Qwen14B_4355_v3_exam18,ADCC,3,1,33.33%,3,100.00%,1,33.33%
Qwen14B_4355_v3_exam18,HSBC Referral,4,2,50.00%,4,100.00%,2,50.00%
Qwen14B_4355_v3_exam18,Police Letter,4,0,0.00%,3,75.00%,0,0.00%
Qwen14B_4355_v3_exam18,Search Warrant,2,1,50.00%,2,100.00%,1,50.00%
Qwen32B_4355_v3_exam18,UAR,3,2,66.67%,3,100.00%,2,66.67%
Qwen32B_4355_v3_exam18,ODFT,2,1,50.00%,2,100.00%,1,50.00%
Qwen32B_4355_v3_exam18,ADCC,3,2,66.67%,3,100.00%,2,66.67%
Qwen32B_4355_v3_exam18,HSBC Referral,4,1,25.00%,4,100.00%,1,25.00%
Qwen32B_4355_v3_exam18,Police Letter,4,2,50.00%,4,100.00%,2,50.00%
Qwen32B_4355_v3_exam18,Search Warrant,2,2,100.00%,2,100.00%,2,100.00%
